Year,Team,Confederation
2006,Brazil,CONMEBOL
2006,Netherlands,UEFA
2006,England,UEFA
2006,Czechia,UEFA
2006,France,UEFA
2006,Spain,UEFA
2006,Italy,UEFA
2006,Argentina,CONMEBOL
2006,Portugal,UEFA
2006,Germany,UEFA
2006,Sweden,UEFA
2006,Iran,AFC
2006,Mexico,CONCACAF
2006,Croatia,UEFA
2006,United States,CONCACAF
2006,Poland,UEFA
2006,Serbia and Montenegro,UEFA
2006,Switzerland,UEFA
2006,Australia,AFC
2006,Ukraine,UEFA
2006,Japan,AFC
2006,Paraguay,CONMEBOL
2006,Ivory Coast,CAF
2006,South Korea,AFC
2006,Costa Rica,CONCACAF
2006,Tunisia,CAF
2006,Ecuador,CONMEBOL
2006,Ghana,CAF
2006,Trinidad and Tobago,CONCACAF
2006,Angola,CAF
2006,Saudi Arabia,AFC
2006,Togo,CAF
2010,Spain,UEFA
2010,Brazil,CONMEBOL
2010,Netherlands,UEFA
2010,England,UEFA
2010,Germany,UEFA
2010,Italy,UEFA
2010,Argentina,CONMEBOL
2010,Mexico,CONCACAF
2010,Chile,CONMEBOL
2010,Portugal,UEFA
2010,France,UEFA
2010,Uruguay,CONMEBOL
2010,Serbia,UEFA
2010,United States,CONCACAF
2010,Denmark,UEFA
2010,Australia,AFC
2010,South Korea,AFC
2010,Paraguay,CONMEBOL
2010,Switzerland,UEFA
2010,Ivory Coast,CAF
2010,Greece,UEFA
2010,Honduras,CONCACAF
2010,Nigeria,CAF
2010,Cameroon,CAF
2010,Ghana,CAF
2010,Slovenia,UEFA
2010,Japan,AFC
2010,Slovakia,UEFA
2010,South Africa,CAF
2010,Algeria,CAF
2010,North Korea,AFC
2010,New Zealand,OFC
2014,Brazil,CONMEBOL
2014,Spain,UEFA
2014,Germany,UEFA
2014,Argentina,CONMEBOL
2014,Netherlands,UEFA
2014,Portugal,UEFA
2014,England,UEFA
2014,Colombia,CONMEBOL
2014,Chile,CONMEBOL
2014,Uruguay,CONMEBOL
2014,France,UEFA
2014,Italy,UEFA
2014,United States,CONCACAF
2014,Switzerland,UEFA
2014,Belgium,UEFA
2014,Russia,UEFA
2014,Ecuador,CONMEBOL
2014,Greece,UEFA
2014,Croatia,UEFA
2014,Mexico,CONCACAF
2014,Bosnia and Herzegovina,UEFA
2014,Japan,AFC
2014,Ivory Coast,CAF
2014,Nigeria,CAF
2014,Iran,AFC
2014,Costa Rica,CONCACAF
2014,Australia,AFC
2014,Ghana,CAF
2014,Honduras,CONCACAF
2014,South Korea,AFC
2014,Algeria,CAF
2014,Cameroon,CAF
2018,Brazil,CONMEBOL
2018,Germany,UEFA
2018,Spain,UEFA
2018,France,UEFA
2018,Argentina,CONMEBOL
2018,Portugal,UEFA
2018,England,UEFA
2018,Belgium,UEFA
2018,Colombia,CONMEBOL
2018,Peru,CONMEBOL
2018,Uruguay,CONMEBOL
2018,Switzerland,UEFA
2018,Denmark,UEFA
2018,Croatia,UEFA
2018,Mexico,CONCACAF
2018,Poland,UEFA
2018,Sweden,UEFA
2018,Iran,AFC
2018,Serbia,UEFA
2018,Iceland,UEFA
2018,Senegal,CAF
2018,Australia,AFC
2018,Costa Rica,CONCACAF
2018,Morocco,CAF
2018,South Korea,AFC
2018,Japan,AFC
2018,Nigeria,CAF
2018,Russia,UEFA
2018,Panama,CONCACAF
2018,Tunisia,CAF
2018,Egypt,CAF
2018,Saudi Arabia,AFC
2022,Brazil,CONMEBOL
2022,Argentina,CONMEBOL
2022,Spain,UEFA
2022,Netherlands,UEFA
2022,Belgium,UEFA
2022,Portugal,UEFA
2022,France,UEFA
2022,Denmark,UEFA
2022,Germany,UEFA
2022,Uruguay,CONMEBOL
2022,Croatia,UEFA
2022,England,UEFA
2022,Switzerland,UEFA
2022,Serbia,UEFA
2022,Ecuador,CONMEBOL
2022,Poland,UEFA
2022,Mexico,CONCACAF
2022,Iran,AFC
2022,United States,CONCACAF
2022,Wales,UEFA
2022,Japan,AFC
2022,South Korea,AFC
2022,Canada,CONCACAF
2022,Morocco,CAF
2022,Costa Rica,CONCACAF
2022,Australia,AFC
2022,Tunisia,CAF
2022,Senegal,CAF
2022,Qatar,AFC
2022,Saudi Arabia,AFC
2022,Cameroon,CAF
2022,Ghana,CAF
