Year,Team,Confederation
2026,Spain,UEFA
2026,Argentina,CONMEBOL
2026,France,UEFA
2026,England,UEFA
2026,Brazil,CONMEBOL
2026,Portugal,UEFA
2026,Colombia,CONMEBOL
2026,Netherlands,UEFA
2026,Ecuador,CONMEBOL
2026,Germany,UEFA
2026,Norway,UEFA
2026,Croatia,UEFA
2026,Turkey,UEFA
2026,Japan,AFC
2026,Belgium,UEFA
2026,Uruguay,CONMEBOL
2026,Switzerland,UEFA
2026,Mexico,CONCACAF
2026,Senegal,CAF
2026,Paraguay,CONMEBOL
2026,Austria,UEFA
2026,Morocco,CAF
2026,Canada,CONCACAF
2026,Scotland,UEFA
2026,Australia,AFC
2026,Algeria,CAF
2026,Iran,AFC
2026,South Korea,AFC
2026,Czechia,UEFA
2026,Panama,CONCACAF
2026,United States,CONCACAF
2026,Uzbekistan,AFC
2026,Sweden,UEFA
2026,Egypt,CAF
2026,Ivory Coast,CAF
2026,Jordan,AFC
2026,DR Congo,CAF
2026,Tunisia,CAF
2026,Iraq,AFC
2026,Bosnia and Herzegovina,UEFA
2026,Cape Verde,CAF
2026,Saudi Arabia,AFC
2026,New Zealand,OFC
2026,Haiti,CONCACAF
2026,South Africa,CAF
2026,Ghana,CAF
2026,Cura̤ao,CONCACAF
2026,Qatar,AFC
