Year,Team,Elo_Rating
2006,Brazil,2034
2006,Netherlands,1994
2006,England,1972
2006,Czechia,1971
2006,France,1971
2006,Spain,1964
2006,Italy,1943
2006,Argentina,1922
2006,Portugal,1915
2006,Germany,1895
2006,Sweden,1859
2006,Iran,1841
2006,Mexico,1839
2006,Croatia,1837
2006,United States,1824
2006,Poland,1822
2006,Serbia and Montenegro,1800
2006,Switzerland,1800
2006,Australia,1798
2006,Ukraine,1790
2006,Japan,1789
2006,Paraguay,1779
2006,Ivory Coast,1766
2006,South Korea,1743
2006,Costa Rica,1724
2006,Tunisia,1703
2006,Ecuador,1700
2006,Ghana,1616
2006,Trinidad and Tobago,1567
2006,Angola,1565
2006,Saudi Arabia,1554
2006,Togo,1488
2010,Spain,2111
2010,Brazil,2109
2010,Netherlands,2043
2010,England,2001
2010,Germany,1957
2010,Italy,1936
2010,Argentina,1921
2010,Mexico,1898
2010,Chile,1886
2010,Portugal,1876
2010,France,1861
2010,Uruguay,1845
2010,Serbia,1840
2010,United States,1785
2010,Denmark,1778
2010,Australia,1774
2010,South Korea,1765
2010,Paraguay,1764
2010,Switzerland,1762
2010,Ivory Coast,1739
2010,Greece,1735
2010,Honduras,1714
2010,Nigeria,1713
2010,Cameroon,1694
2010,Ghana,1687
2010,Slovenia,1685
2010,Japan,1678
2010,Slovakia,1670
2010,South Africa,1593
2010,Algeria,1539
2010,North Korea,1537
2010,New Zealand,1527
2014,Brazil,2138
2014,Spain,2107
2014,Germany,2073
2014,Argentina,2018
2014,Netherlands,1985
2014,Portugal,1942
2014,England,1931
2014,Colombia,1922
2014,Chile,1920
2014,Uruguay,1918
2014,France,1896
2014,Italy,1887
2014,United States,1857
2014,Switzerland,1854
2014,Belgium,1851
2014,Russia,1848
2014,Ecuador,1836
2014,Greece,1823
2014,Croatia,1818
2014,Mexico,1814
2014,Bosnia and Herzegovina,1785
2014,Japan,1785
2014,Ivory Coast,1772
2014,Nigeria,1727
2014,Iran,1715
2014,Costa Rica,1711
2014,Australia,1708
2014,Ghana,1704
2014,Honduras,1668
2014,South Korea,1667
2014,Algeria,1625
2014,Cameroon,1606
2018,Brazil,2141
2018,Germany,2076
2018,Spain,2043
2018,France,1986
2018,Argentina,1985
2018,Portugal,1968
2018,England,1947
2018,Belgium,1935
2018,Colombia,1927
2018,Peru,1915
2018,Uruguay,1893
2018,Switzerland,1888
2018,Denmark,1854
2018,Croatia,1853
2018,Mexico,1849
2018,Poland,1830
2018,Sweden,1793
2018,Iran,1790
2018,Serbia,1788
2018,Iceland,1764
2018,Senegal,1746
2018,Australia,1743
2018,Costa Rica,1742
2018,Morocco,1731
2018,South Korea,1713
2018,Japan,1684
2018,Nigeria,1681
2018,Russia,1676
2018,Panama,1657
2018,Tunisia,1651
2018,Egypt,1639
2018,Saudi Arabia,1588
2022,Brazil,2169
2022,Argentina,2143
2022,Spain,2049
2022,Netherlands,2040
2022,Belgium,2006
2022,Portugal,2005
2022,France,2004
2022,Denmark,1971
2022,Germany,1962
2022,Uruguay,1935
2022,Croatia,1926
2022,England,1919
2022,Switzerland,1901
2022,Serbia,1898
2022,Ecuador,1832
2022,Poland,1813
2022,Mexico,1808
2022,Iran,1798
2022,United States,1796
2022,Wales,1789
2022,Japan,1788
2022,South Korea,1786
2022,Canada,1775
2022,Morocco,1764
2022,Costa Rica,1743
2022,Australia,1720
2022,Tunisia,1705
2022,Senegal,1684
2022,Qatar,1680
2022,Saudi Arabia,1636
2022,Cameroon,1607
2022,Ghana,1564
