Year,Team,Elo_Rating
2026,Spain,2157
2026,Argentina,2115
2026,France,2063
2026,England,2024
2026,Brazil,1991
2026,Portugal,1989
2026,Colombia,1982
2026,Netherlands,1948
2026,Ecuador,1938
2026,Germany,1932
2026,Norway,1914
2026,Croatia,1912
2026,Turkey,1911
2026,Japan,1906
2026,Belgium,1894
2026,Uruguay,1892
2026,Switzerland,1891
2026,Mexico,1875
2026,Senegal,1860
2026,Paraguay,1834
2026,Austria,1830
2026,Morocco,1827
2026,Canada,1788
2026,Scotland,1782
2026,Australia,1777
2026,Algeria,1772
2026,Iran,1772
2026,South Korea,1758
2026,Czechia,1740
2026,Panama,1730
2026,United States,1726
2026,Uzbekistan,1714
2026,Sweden,1712
2026,Egypt,1696
2026,Ivory Coast,1695
2026,Jordan,1680
2026,DR Congo,1652
2026,Tunisia,1628
2026,Iraq,1607
2026,Bosnia and Herzegovina,1595
2026,Cape Verde,1578
2026,Saudi Arabia,1576
2026,New Zealand,1562
2026,Haiti,1548
2026,South Africa,1517
2026,Ghana,1510
2026,Cura̤ao,1434
2026,Qatar,1421
