Year,Team,FIFA_Rank
2026,Spain,2
2026,Argentina,1
2026,France,3
2026,England,4
2026,Brazil,6
2026,Portugal,5
2026,Colombia,13
2026,Netherlands,8
2026,Ecuador,23
2026,Germany,10
2026,Norway,31
2026,Croatia,11
2026,Turkey,22
2026,Japan,18
2026,Belgium,9
2026,Uruguay,16
2026,Switzerland,19
2026,Mexico,14
2026,Senegal,15
2026,Paraguay,41
2026,Austria,24
2026,Morocco,7
2026,Canada,30
2026,Scotland,42
2026,Australia,27
2026,Algeria,28
2026,Iran,20
2026,South Korea,25
2026,Czechia,40
2026,Panama,34
2026,United States,17
2026,Uzbekistan,50
2026,Sweden,38
2026,Egypt,29
2026,Ivory Coast,33
2026,Jordan,63
2026,DR Congo,46
2026,Tunisia,45
2026,Iraq,57
2026,Bosnia and Herzegovina,64
2026,Cape Verde,67
2026,Saudi Arabia,61
2026,New Zealand,85
2026,Haiti,83
2026,South Africa,60
2026,Ghana,73
2026,Cura̤ao,82
2026,Qatar,56
