Year,Team,Previous_WC_Progress
2026,Spain,0.5161
2026,Argentina,1.0
2026,France,0.9677
2026,England,0.7742
2026,Brazil,0.7742
2026,Portugal,0.7742
2026,Colombia,-1.0
2026,Netherlands,0.7742
2026,Ecuador,0.0
2026,Germany,0.0
2026,Norway,-1.0
2026,Croatia,0.9032
2026,Turkey,-1.0
2026,Japan,0.5161
2026,Belgium,0.0
2026,Uruguay,0.0
2026,Switzerland,0.5161
2026,Mexico,0.0
2026,Senegal,0.5161
2026,Paraguay,-1.0
2026,Austria,-1.0
2026,Morocco,0.9032
2026,Canada,0.0
2026,Scotland,-1.0
2026,Australia,0.5161
2026,Algeria,-1.0
2026,Iran,0.0
2026,South Korea,0.5161
2026,Czechia,-1.0
2026,Panama,-1.0
2026,United States,0.5161
2026,Uzbekistan,-1.0
2026,Sweden,-1.0
2026,Egypt,-1.0
2026,Ivory Coast,-1.0
2026,Jordan,-1.0
2026,DR Congo,-1.0
2026,Tunisia,0.0
2026,Iraq,-1.0
2026,Bosnia and Herzegovina,-1.0
2026,Cape Verde,-1.0
2026,Saudi Arabia,0.0
2026,New Zealand,-1.0
2026,Haiti,-1.0
2026,South Africa,-1.0
2026,Ghana,0.0
2026,Cura̤ao,-1.0
2026,Qatar,0.0
